Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday Sep 9,boxscore,KCR,@,CLE,W,3,0,,16-28,5,11.5,Duffy,Carrasco,Holland,3:03,N,,.02,++,
45,Thursday Sep 10,boxscore,KCR,@,CLE,W,11,1,,17-28,5,11.0,Singer,Civale,,2:48,N,,.03,+++,
46,Friday Sep 11,boxscore,KCR,,PIT,W,4,3,,18-28,5,11.0,Bubic,Brault,Holland,3:10,N,,.05,++++,
47,Saturday Sep 12,boxscore,KCR,,PIT,W,7,4,,19-28,5,11.0,Zimmer,Williams,Holland,3:06,N,,.06,+++++,
48,Sunday Sep 13,boxscore,KCR,,PIT,W,11,0,,20-28,5,11.0,Keller,Kuhl,,3:02,D,,.07,++++++,
49,Tuesday Sep 15,boxscore,KCR,@,DET,L,0,6,,20-29,5,12.5,Boyd,Junis,,3:27,N,,.10,-,
50,Wednesday Sep 16,boxscore,KCR,@,DET,W,4,0,,21-29,5,11.5,Singer,Skubal,,2:33,N,,.05,+,
51,Friday Sep 18,boxscore,KCR,@,MIL,L,5,9,,21-30,5,12.0,Rasmussen,Duffy,,3:20,N,,.10,-,
52,Saturday Sep 19,boxscore,KCR,@,MIL,L,0,5,,21-31,5,13.0,Burnes,Bubic,,2:55,N,,.10,--,
53,Sunday Sep 20,boxscore,KCR,@,MIL,L,3,5,,21-32,5,13.0,Lindblom,Keller,Hader,2:43,D,,.05,---,
54,Monday Sep 21,boxscore,KCR,,STL,W,4,1,,22-32,5,12.0,Staumont,Wainwright,Holland,2:55,N,,.01,+,
55,Tuesday Sep 22,boxscore,KCR,,STL,L,0,5,,22-33,5,12.0,Gomber,Singer,,3:09,N,,.00,-,
56,Wednesday Sep 23,boxscore,KCR,,STL,W,12,3,,23-33,4,11.5,Duffy,Martinez,,2:50,N,,.00,+,
57,Thursday Sep 24,boxscore,KCR,,DET,W,8,7,,24-33,4,11.0,Hahn,Alexander,Newberry,3:22,N,,.00,++,
58,Friday Sep 25,boxscore,KCR,,DET,W,3,2,,25-33,4,10.0,Keller,Turnbull,Hahn,2:50,N,,.00,+++,
59,Saturday Sep 26,boxscore,KCR,,DET,L,3,4,,25-34,4,11.0,Boyd,Hernandez,Garcia,3:00,N,,.00,-,
60,Sunday Sep 27,boxscore,KCR,,DET,W,3,1,,26-34,4,10.0,Singer,Skubal,Hahn,2:27,D,,.00,+,
