Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Monday Sep 14 (1),boxscore,PIT,@,CIN,L-wo,1,3,7,14-31,5,13.0,Iglesias,Howard,,2:25,D,,.01,-----,
46,Monday Sep 14 (2),boxscore,PIT,@,CIN,L,4,9,7,14-32,5,13.0,Romano,Turley,,2:58,N,,.01,------,
47,Tuesday Sep 15,boxscore,PIT,@,CIN,L,1,4,,14-33,5,14.0,Lorenzen,Musgrove,Garrett,2:40,N,,.00,-------,
48,Wednesday Sep 16,boxscore,PIT,@,CIN,L,0,1,,14-34,5,15.0,Castillo,Brubaker,Iglesias,2:34,N,,.00,--------,
49,Thursday Sep 17,boxscore,PIT,,STL,W,5,1,,15-34,5,14.5,Brault,Gomber,,2:25,N,,.00,+,
50,Friday Sep 18 (1),boxscore,PIT,,STL,L,5,6,7,15-35,5,16.0,Reyes,Williams,Helsley,3:08,D,,.00,-,
51,Friday Sep 18 (2),boxscore,PIT,,STL,L,2,7,7,15-36,5,16.0,Miller,Kuhl,,2:19,N,,.00,--,
52,Saturday Sep 19,boxscore,PIT,,STL,L,4,5,,15-37,5,16.0,Woodford,Howard,Cabrera,3:06,N,,.00,---,
53,Sunday Sep 20,boxscore,PIT,,STL,L,1,2,,15-38,5,16.0,Flaherty,Holland,Miller,2:50,D,,.00,----,
54,Monday Sep 21,boxscore,PIT,,CHC,L,0,5,,15-39,5,17.0,Lester,Brubaker,,2:58,N,,.00,-----,
55,Tuesday Sep 22,boxscore,PIT,,CHC,W-wo,3,2,,16-39,5,16.0,Rodriguez,Chafin,,2:45,N,,.00,+,
56,Wednesday Sep 23,boxscore,PIT,,CHC,W,2,1,,17-39,5,15.0,Williams,Hendricks,Rodriguez,2:57,N,,.00,++,
57,Thursday Sep 24,boxscore,PIT,,CHC,W,7,0,,18-39,5,14.0,Kuhl,Mills,,2:36,D,,.00,+++,
58,Friday Sep 25,boxscore,PIT,@,CLE,L-wo,3,4,,18-40,5,15.0,Plutko,Stratton,,3:18,N,,.00,-,
59,Saturday Sep 26,boxscore,PIT,@,CLE,W,8,0,,19-40,5,14.0,Musgrove,Civale,,2:56,N,,.00,+,
60,Sunday Sep 27,boxscore,PIT,@,CLE,L,6,8,,19-41,5,15.0,Karinchak,Turley,Hand,3:00,D,,.00,-,
