Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday Sep 12 (1),boxscore,TEX,,OAK,W,5,2,7,16-29,5,13.5,Benjamin,Jefferies,Montero,1:58,D,,.09,+,
46,Saturday Sep 12 (2),boxscore,TEX,,OAK,L,1,10,7,16-30,5,13.5,Bassitt,Allard,,2:59,N,,.12,-,
47,Sunday Sep 13,boxscore,TEX,,OAK,W,6,3,,17-30,5,12.5,Lynn,Montas,,2:57,D,,.03,+,
48,Tuesday Sep 15,boxscore,TEX,@,HOU,L,1,4,,17-31,5,12.5,Urquidy,Goody,Pressly,3:00,N,,.07,-,
49,Wednesday Sep 16,boxscore,TEX,@,HOU,W,1,0,,18-31,5,12.5,Gibson,Pressly,,2:36,N,,.03,+,
50,Thursday Sep 17,boxscore,TEX,@,HOU,L,1,2,,18-32,5,13.0,Valdez,Lyles,Raley,2:33,N,,.04,-,
51,Friday Sep 18,boxscore,TEX,@,LAA,L,2,6,,18-33,5,14.0,Barria,Benjamin,,2:55,N,,.01,--,
52,Saturday Sep 19,boxscore,TEX,@,LAA,L,3,4,,18-34,5,15.0,Mayers,Martin,,2:35,N,,.01,---,
53,Sunday Sep 20,boxscore,TEX,@,LAA,W,7,2,,19-34,5,14.0,Cody,Teheran,,3:00,D,,.00,+,
54,Monday Sep 21,boxscore,TEX,@,LAA,L,5,8,,19-35,5,14.5,Bundy,Gibson,Mayers,3:00,D,,.00,-,
55,Tuesday Sep 22,boxscore,TEX,@,ARI,L,0,7,,19-36,5,14.5,Smith,Lyles,,2:56,N,,.00,--,
56,Wednesday Sep 23,boxscore,TEX,@,ARI,L,3,7,,19-37,5,15.5,Mella,Goody,,2:57,D,,.00,---,
57,Thursday Sep 24,boxscore,TEX,,HOU,L,4,12,,19-38,5,15.5,Javier,Lynn,,3:11,N,,.00,----,
58,Friday Sep 25,boxscore,TEX,,HOU,W-wo,5,4,10,20-38,5,15.5,Martin,Paredes,,3:15,N,,.00,+,
59,Saturday Sep 26,boxscore,TEX,,HOU,W,6,1,,21-38,5,14.0,Herget,Bielak,,2:44,N,,.00,++,
60,Sunday Sep 27,boxscore,TEX,,HOU,W,8,4,,22-38,5,14.0,Benjamin,De Jong,,3:28,D,,.00,+++,
