Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Monday Sep 7,boxscore,MIN,,DET,W,6,2,,26-17,3,1.0,Pineda,Fulmer,,2:44,D,,.85,+,
44,Tuesday Sep 8 (1),boxscore,MIN,@,STL,W,7,3,7,27-17,3,0.5,Berrios,Martinez,,2:31,D,,.59,++,
45,Tuesday Sep 8 (2),boxscore,MIN,@,STL,L,4,6,7,27-18,3,0.5,Cabrera,Dobnak,Gallegos,2:48,D,,.52,-,
46,Friday Sep 11,boxscore,MIN,,CLE,W,3,1,,28-18,2,1.0,Maeda,Bieber,Rogers,2:43,N,,.78,+,
47,Saturday Sep 12,boxscore,MIN,,CLE,W,8,4,,29-18,2,1.0,Hill,Plesac,,2:56,N,,.71,++,
48,Sunday Sep 13,boxscore,MIN,,CLE,W,7,5,,30-18,2,1.0,Thielbar,McKenzie,Romo,3:43,D,,.62,+++,
49,Monday Sep 14,boxscore,MIN,@,CHW,L,1,3,,30-19,2,2.0,Colome,Rogers,,3:51,N,,.51,-,
50,Tuesday Sep 15,boxscore,MIN,@,CHW,L,2,6,,30-20,2,3.0,Dunning,Dobnak,,3:04,N,,.53,--,
51,Wednesday Sep 16,boxscore,MIN,@,CHW,W,5,1,,31-20,2,2.0,Stashak,Giolito,,3:05,N,,.56,+,
52,Thursday Sep 17,boxscore,MIN,@,CHW,L,3,4,,31-21,2,3.0,Heuer,Clippard,Colome,3:20,D,,.57,-,
53,Friday Sep 18,boxscore,MIN,@,CHC,L,0,1,,31-22,2,3.0,Hendricks,Hill,Jeffress,2:34,N,,.59,--,
54,Saturday Sep 19,boxscore,MIN,@,CHC,W,8,1,,32-22,2,3.0,Pineda,Mills,,3:10,N,,.59,+,
55,Sunday Sep 20,boxscore,MIN,@,CHC,W,4,0,,33-22,2,2.0,Berrios,Darvish,,3:07,N,,.61,++,
56,Tuesday Sep 22,boxscore,MIN,,DET,W-wo,5,4,10,34-22,2,0.5,Rogers,Garcia,,3:43,N,,.58,+++,
57,Wednesday Sep 23,boxscore,MIN,,DET,W,7,6,,35-22,1,up 0.5,Maeda,Mize,Romo,3:16,N,,.56,++++,
58,Friday Sep 25,boxscore,MIN,,CIN,L,2,7,,35-23,1,up 1.0,Lorenzen,Berrios,,3:38,N,,.43,-,
59,Saturday Sep 26,boxscore,MIN,,CIN,W,7,3,,36-23,1,up 1.0,Clippard,Castillo,,3:06,N,,.64,+,
60,Sunday Sep 27,boxscore,MIN,,CIN,L,3,5,10,36-24,1,up 1.0,Iglesias,Thielbar,,3:53,D,,.35,-,
