Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday Sep 9,boxscore,CHC,,CIN,L,0,3,,25-19,1,up 2.5,Bauer,Darvish,Iglesias,2:54,N,,.57,-,
45,Thursday Sep 10,boxscore,CHC,,CIN,W,8,5,,26-19,1,up 3.0,Ryan,Gray,Jeffress,4:07,N,,.75,+,
46,Friday Sep 11,boxscore,CHC,@,MIL,L-wo,0,1,,26-20,1,up 3.0,Hader,Wick,,2:50,N,,.57,-,
47,Saturday Sep 12,boxscore,CHC,@,MIL,W,4,2,,27-20,1,up 3.0,Adam,Hader,Kimbrel,2:42,N,,.76,+,
48,Sunday Sep 13,boxscore,CHC,@,MIL,W,12,0,,28-20,1,up 4.0,Mills,Houser,,2:50,D,,.50,++,
49,Tuesday Sep 15,boxscore,CHC,,CLE,W-wo,6,5,,29-20,1,up 5.0,Jeffress,Perez,,3:17,N,,.30,+++,
50,Wednesday Sep 16,boxscore,CHC,,CLE,W-wo,3,2,10,30-20,1,up 5.5,Adam,Maton,,3:13,N,,.26,++++,
51,Friday Sep 18,boxscore,CHC,,MIN,W,1,0,,31-20,1,up 5.5,Hendricks,Hill,Jeffress,2:34,N,,.18,+++++,
52,Saturday Sep 19,boxscore,CHC,,MIN,L,1,8,,31-21,1,up 4.5,Pineda,Mills,,3:10,N,,.21,-,
53,Sunday Sep 20,boxscore,CHC,,MIN,L,0,4,,31-22,1,up 3.5,Berrios,Darvish,,3:07,N,,.25,--,
54,Monday Sep 21,boxscore,CHC,@,PIT,W,5,0,,32-22,1,up 4.5,Lester,Brubaker,,2:58,N,,.35,+,
55,Tuesday Sep 22,boxscore,CHC,@,PIT,L-wo,2,3,,32-23,1,up 3.5,Rodriguez,Chafin,,2:45,N,,.20,-,
56,Wednesday Sep 23,boxscore,CHC,@,PIT,L,1,2,,32-24,1,up 3.5,Williams,Hendricks,Rodriguez,2:57,N,,.22,--,
57,Thursday Sep 24,boxscore,CHC,@,PIT,L,0,7,,32-25,1,up 2.5,Kuhl,Mills,,2:36,D,,.20,---,
58,Friday Sep 25,boxscore,CHC,@,CHW,W,10,0,,33-25,1,up 3.0,Darvish,Cease,,3:04,N,,.40,+,
59,Saturday Sep 26,boxscore,CHC,@,CHW,L,5,9,,33-26,1,up 3.0,Foster,Lester,,3:20,N,,.11,-,
60,Sunday Sep 27,boxscore,CHC,@,CHW,W,10,8,,34-26,1,up 3.0,Alzolay,Lopez,Chafin,3:37,D,,.07,+,
