Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday Sep 12,boxscore,COL,,LAA,L,2,5,11,21-24,4,10.5,Buttrey,Kinley,Andriese,3:44,N,,1.48,-,
46,Sunday Sep 13,boxscore,COL,,LAA,L,3,5,,21-25,4,11.5,Heaney,Estevez,Andriese,3:04,D,,1.35,--,
47,Tuesday Sep 15,boxscore,COL,,OAK,W,3,1,,22-25,4,11.0,Senzatela,Manaea,,2:41,N,,1.29,+,
48,Wednesday Sep 16,boxscore,COL,,OAK,L,1,3,,22-26,4,12.0,Fiers,Marquez,Hendriks,2:57,D,,1.44,-,
49,Thursday Sep 17,boxscore,COL,,LAD,L,3,9,,22-27,4,13.0,Floro,Freeland,,3:07,N,,1.23,--,
50,Friday Sep 18,boxscore,COL,,LAD,L,6,15,,22-28,4,14.0,White,Castellani,,3:24,N,,.92,---,
51,Saturday Sep 19,boxscore,COL,,LAD,L,1,6,,22-29,4,15.0,Kershaw,Gonzalez,,2:32,N,,.49,----,
52,Sunday Sep 20,boxscore,COL,,LAD,W,6,3,,23-29,4,14.0,Senzatela,Gonsolin,Givens,3:15,D,,.21,+,
53,Monday Sep 21,boxscore,COL,@,SFG,W,7,2,,24-29,4,13.5,Marquez,Cueto,,3:33,N,,.33,++,
54,Tuesday Sep 22,boxscore,COL,@,SFG,L,2,5,,24-30,4,14.5,Rogers,Diaz,Coonrod,3:26,N,,.68,-,
55,Wednesday Sep 23,boxscore,COL,@,SFG,L,2,7,,24-31,4,14.5,Webb,Castellani,,3:10,N,,.29,--,
56,Thursday Sep 24,boxscore,COL,@,SFG,W,5,4,11,25-31,4,14.5,Bard,Cahill,Diaz,4:13,D,,.03,+,
57,Friday Sep 25 (1),boxscore,COL,@,ARI,L,0,4,7,25-32,4,16.0,Gallen,Senzatela,Crichton,2:36,D,,.06,-,
58,Friday Sep 25 (2),boxscore,COL,@,ARI,L,5,11,7,25-33,4,16.0,Clarke,Santos,,2:58,D,,.00,--,
59,Saturday Sep 26,boxscore,COL,@,ARI,W,10,3,,26-33,4,16.0,Marquez,Weaver,,3:03,N,,.00,+,
60,Sunday Sep 27,boxscore,COL,@,ARI,L,3,11,,26-34,4,17.0,Bumgarner,Freeland,,2:54,D,,.00,-,
