Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Sunday Sep 13 (1),boxscore,MIA,,PHI,W,2,1,7,22-21,2,3.5,Sanchez,Rosso,,2:01,D,,1.79,+,
44,Sunday Sep 13 (2),boxscore,MIA,,PHI,W,8,1,7,23-21,2,3.5,Garrett,Eflin,,2:22,D,,1.71,++,
45,Monday Sep 14,boxscore,MIA,,PHI,W,6,2,,24-21,2,2.5,Lopez,Velasquez,,2:47,D,,1.32,+++,
46,Tuesday Sep 15,boxscore,MIA,,BOS,L,0,2,,24-22,2,3.5,Houck,Alcantara,Barnes,3:05,N,,1.06,-,
47,Wednesday Sep 16,boxscore,MIA,,BOS,W,8,4,,25-22,2,2.5,Garcia,Kickham,,3:35,N,,1.25,+,
48,Thursday Sep 17,boxscore,MIA,,BOS,L,3,5,,25-23,2,3.0,Eovaldi,Urena,Barnes,3:09,D,,1.08,-,
49,Friday Sep 18 (1),boxscore,MIA,,WSN,L,0,5,7,25-24,2,3.5,Fedde,Sanchez,,2:15,N,,1.32,--,
50,Friday Sep 18 (2),boxscore,MIA,,WSN,W,14,3,7,26-24,2,3.5,Garcia,Crowe,,2:54,N,,1.61,+,
51,Saturday Sep 19,boxscore,MIA,,WSN,W,7,3,,27-24,2,2.5,Lopez,Corbin,,3:06,N,,1.49,++,
52,Sunday Sep 20 (1),boxscore,MIA,,WSN,W,2,1,7,28-24,2,3.0,Alcantara,Scherzer,Kintzler,2:37,D,,1.37,+++,
53,Sunday Sep 20 (2),boxscore,MIA,,WSN,L,0,15,7,28-25,2,3.0,Braymer,Garrett,,2:54,D,,1.34,-,
54,Monday Sep 21,boxscore,MIA,@,ATL,L,4,5,,28-26,2,4.0,Matzek,Rogers,Melancon,3:30,N,,1.55,--,
55,Tuesday Sep 22,boxscore,MIA,@,ATL,L,1,11,,28-27,2,5.0,Wilson,Urena,,2:50,N,,1.37,---,
56,Wednesday Sep 23,boxscore,MIA,@,ATL,L,4,9,,28-28,2,6.0,Jackson,Smith,,3:01,N,,1.47,----,
57,Thursday Sep 24,boxscore,MIA,@,ATL,W,4,2,,29-28,2,5.0,Lopez,Anderson,Kintzler,3:35,N,,2.56,+,
58,Friday Sep 25,boxscore,MIA,@,NYY,W,4,3,10,30-28,2,5.0,Boxberger,Green,Kintzler,3:20,N,,1.76,++,
59,Saturday Sep 26,boxscore,MIA,@,NYY,L,4,11,,30-29,2,5.0,Garcia,Tarpley,,3:20,D,,.32,-,
60,Sunday Sep 27,boxscore,MIA,@,NYY,W,5,0,,31-29,2,4.0,Castano,Schmidt,,3:05,D,,-.04,+,
