Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Wednesday Sep 9,boxscore,SDP,,COL,W,5,3,,28-17,2,4.5,Davies,Senzatela,Rosenthal,2:54,N,,.36,++++,
46,Thursday Sep 10,boxscore,SDP,,SFG,W,6,1,,29-17,2,3.5,Morejón,Cahill,,2:48,N,,.35,+++++,
47,Sunday Sep 13 (1),boxscore,SDP,,SFG,W,6,0,7,30-17,2,2.5,Clevinger,Cueto,,2:08,D,,.28,++++++,
48,Sunday Sep 13 (2),boxscore,SDP,,SFG,W,3,1,7,31-17,2,2.5,Hill,Selman,Rosenthal,2:12,D,,.21,+++++++,
49,Monday Sep 14,boxscore,SDP,,LAD,W,7,2,,32-17,2,1.5,Lamet,Kershaw,,2:59,N,,.21,++++++++,
50,Tuesday Sep 15,boxscore,SDP,,LAD,L,1,3,,32-18,2,2.5,Gonsolin,Davies,Jansen,2:59,N,,.21,-,
51,Wednesday Sep 16,boxscore,SDP,,LAD,L,5,7,,32-19,2,3.5,Kolarek,Morejón,Baez,3:25,D,,.19,--,
52,Friday Sep 18,boxscore,SDP,,SEA,W,6,1,,33-19,2,4.0,Paddack,Kikuchi,,3:01,N,,.13,+,
53,Saturday Sep 19,boxscore,SDP,,SEA,L,1,4,,33-20,2,5.0,Sheffield,Altavilla,Hirano,2:59,N,,.09,-,
54,Sunday Sep 20,boxscore,SDP,,SEA,W,7,4,11,34-20,2,4.0,Rosenthal,Sadler,,4:02,D,,.09,+,
55,Tuesday Sep 22,boxscore,SDP,,LAA,L,2,4,,34-21,2,5.0,Canning,Davies,Mayers,3:10,N,,.07,-,
56,Wednesday Sep 23,boxscore,SDP,,LAA,L,2,5,,34-22,2,5.0,Sandoval,Morejón,Pena,3:24,D,,.06,--,
57,Friday Sep 25 (1),boxscore,SDP,@,SFG,L,4,5,7,34-23,2,6.0,Anderson,Paddack,,2:27,D,,.08,---,
58,Friday Sep 25 (2),boxscore,SDP,@,SFG,W-wo,6,5,7,35-23,2,6.0,Patino,Coonrod,,2:37,N,,.08,+,
59,Saturday Sep 26,boxscore,SDP,@,SFG,W,6,2,,36-23,2,6.0,Stammen,Cueto,,2:47,N,,.11,++,
60,Sunday Sep 27,boxscore,SDP,@,SFG,W,5,4,,37-23,2,6.0,Altavilla,Smyly,Rosenthal,3:22,D,,.09,+++,
