Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Friday Sep 11,boxscore,TOR,,NYM,L,1,18,,24-20,2,4.5,deGrom,Anderson,Ramirez,3:30,N,,1.02,--,
45,Saturday Sep 12,boxscore,TOR,,NYM,W,3,2,,25-20,2,4.5,Ray,Lugo,Dolis,3:22,N,,1.00,+,
46,Sunday Sep 13,boxscore,TOR,,NYM,W,7,3,,26-20,2,3.5,Ryu,Peterson,,3:12,D,,.78,++,
47,Tuesday Sep 15,boxscore,TOR,@,NYY,L,6,20,,26-21,3,4.5,Garcia,Walker,,3:12,N,,.73,-,
48,Wednesday Sep 16,boxscore,TOR,@,NYY,L,2,13,,26-22,3,4.5,Cole,Roark,,3:02,N,,.73,--,
49,Thursday Sep 17,boxscore,TOR,@,NYY,L,7,10,,26-23,3,6.0,Tanaka,Anderson,Chapman,3:19,N,,.77,---,
50,Friday Sep 18 (1),boxscore,TOR,@,PHI,L,0,7,7,26-24,3,7.5,Eflin,Ray,,2:33,D,,.53,----,
51,Friday Sep 18 (2),boxscore,TOR,@,PHI,L,7,8,7,26-25,3,7.5,Brogdon,Dolis,Neris,3:14,N,,.63,-----,
52,Saturday Sep 19,boxscore,TOR,@,PHI,L,1,3,,26-26,3,8.5,Velasquez,Ryu,Hunter,3:16,N,,.52,------,
53,Sunday Sep 20,boxscore,TOR,@,PHI,W,6,3,,27-26,3,7.5,Walker,Medina,Bass,3:28,D,,.74,+,
54,Monday Sep 21,boxscore,TOR,,NYY,W,11,5,,28-26,3,7.5,Zeuch,King,,3:56,N,,.36,++,
55,Tuesday Sep 22,boxscore,TOR,,NYY,L,1,12,,28-27,3,7.5,Cole,Roark,,3:29,N,,.23,-,
56,Wednesday Sep 23,boxscore,TOR,,NYY,W,14,1,,29-27,3,7.5,Cole,Tanaka,Stripling,3:39,N,,.24,+,
57,Thursday Sep 24,boxscore,TOR,,NYY,W,4,1,,30-27,3,7.0,Ryu,Montgomery,Dolis,3:11,N,,.13,++,
58,Friday Sep 25,boxscore,TOR,,BAL,W,10,5,,31-27,3,7.0,Pearson,Lopez,,2:41,N,,.08,+++,
59,Saturday Sep 26,boxscore,TOR,,BAL,W,5,2,,32-27,3,7.0,Anderson,Means,Bass,2:58,N,,.15,++++,
60,Sunday Sep 27,boxscore,TOR,,BAL,L,5,7,,32-28,3,8.0,Lakins,Yamaguchi,Valdez,2:52,D,,.08,-,
