Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday Sep 16 (1),boxscore,STL,@,MIL,W,4,2,7,22-22,2,5.5,Wainwright,Woodruff,,2:01,D,,2.04,+,
45,Wednesday Sep 16 (2),boxscore,STL,@,MIL,L,0,6,7,22-23,2,5.5,Peralta,Oviedo,,2:01,N,,2.07,-,
46,Thursday Sep 17,boxscore,STL,@,PIT,L,1,5,,22-24,3,6.0,Brault,Gomber,,2:25,N,,1.90,--,
47,Friday Sep 18 (1),boxscore,STL,@,PIT,W,6,5,7,23-24,2,5.5,Reyes,Williams,Helsley,3:08,D,,1.86,+,
48,Friday Sep 18 (2),boxscore,STL,@,PIT,W,7,2,7,24-24,2,5.5,Miller,Kuhl,,2:19,N,,2.05,++,
49,Saturday Sep 19,boxscore,STL,@,PIT,W,5,4,,25-24,2,4.5,Woodford,Howard,Cabrera,3:06,N,,2.09,+++,
50,Sunday Sep 20,boxscore,STL,@,PIT,W,2,1,,26-24,2,3.5,Flaherty,Holland,Miller,2:50,D,,2.02,++++,
51,Monday Sep 21,boxscore,STL,@,KCR,L,1,4,,26-25,2,4.5,Staumont,Wainwright,Holland,2:55,N,,1.81,-,
52,Tuesday Sep 22,boxscore,STL,@,KCR,W,5,0,,27-25,2,3.5,Gomber,Singer,,3:09,N,,1.91,+,
53,Wednesday Sep 23,boxscore,STL,@,KCR,L,3,12,,27-26,2,3.5,Duffy,Martinez,,2:50,N,,1.59,-,
54,Thursday Sep 24,boxscore,STL,,MIL,W,4,2,,28-26,2,2.5,Kim,Burnes,Miller,3:43,N,,2.57,+,
55,Friday Sep 25 (1),boxscore,STL,,MIL,L,0,3,7,28-27,2,3.0,Williams,Flaherty,Hader,2:12,D,,1.95,-,
56,Friday Sep 25 (2),boxscore,STL,,MIL,W,9,1,7,29-27,2,3.0,Ponce de Leon,Lindblom,,2:36,N,,2.90,+,
57,Saturday Sep 26,boxscore,STL,,MIL,L,0,3,,29-28,2,3.0,Woodruff,Wainwright,Hader,2:38,N,,1.45,-,
58,Sunday Sep 27,boxscore,STL,,MIL,W,5,2,,30-28,2,3.0,Gallegos,Anderson,Reyes,2:58,D,,1.45,+,
