Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday Sep 12,boxscore,CHW,,DET,W,14,0,,29-16,1,up 1.0,Lopez,Fulmer,,3:02,N,,.42,+++,
46,Sunday Sep 13,boxscore,CHW,,DET,W,5,2,,30-16,1,up 1.0,Cordero,Turnbull,Colome,3:08,D,,.35,++++,
47,Monday Sep 14,boxscore,CHW,,MIN,W,3,1,,31-16,1,up 2.0,Colome,Rogers,,3:51,N,,.41,+++++,
48,Tuesday Sep 15,boxscore,CHW,,MIN,W,6,2,,32-16,1,up 3.0,Dunning,Dobnak,,3:04,N,,.31,++++++,
49,Wednesday Sep 16,boxscore,CHW,,MIN,L,1,5,,32-17,1,up 2.0,Stashak,Giolito,,3:05,N,,.23,-,
50,Thursday Sep 17,boxscore,CHW,,MIN,W,4,3,,33-17,1,up 3.0,Heuer,Clippard,Colome,3:20,D,,.36,+,
51,Friday Sep 18,boxscore,CHW,@,CIN,L,1,7,,33-18,1,up 3.0,Mahle,Stiever,,2:51,N,,.18,-,
52,Saturday Sep 19,boxscore,CHW,@,CIN,W,5,0,,34-18,1,up 3.0,Foster,Bauer,,2:57,N,,.25,+,
53,Sunday Sep 20,boxscore,CHW,@,CIN,L,3,7,,34-19,1,up 2.0,Sims,Cease,,3:36,D,,.18,-,
54,Monday Sep 21,boxscore,CHW,@,CLE,L,4,7,,34-20,1,up 1.5,Civale,Fry,Hand,3:14,N,,.29,--,
55,Tuesday Sep 22,boxscore,CHW,@,CLE,L-wo,3,5,10,34-21,1,up 0.5,Maton,Foster,,3:21,N,,.36,---,
56,Wednesday Sep 23,boxscore,CHW,@,CLE,L-wo,2,3,,34-22,2,0.5,Hand,Gonzalez,,3:14,N,,.53,----,
57,Thursday Sep 24,boxscore,CHW,@,CLE,L,4,5,,34-23,2,1.0,Hill,Rodon,Hand,2:48,N,,.77,-----,
58,Friday Sep 25,boxscore,CHW,,CHC,L,0,10,,34-24,2,1.0,Darvish,Cease,,3:04,N,,.86,------,
59,Saturday Sep 26,boxscore,CHW,,CHC,W,9,5,,35-24,2,1.0,Foster,Lester,,3:20,N,,1.15,+,
60,Sunday Sep 27,boxscore,CHW,,CHC,L,8,10,,35-25,2,1.0,Alzolay,Lopez,Chafin,3:37,D,,.84,-,
