Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday Sep 10,boxscore,CIN,@,CHC,L,5,8,,19-25,4,6.5,Ryan,Gray,Jeffress,4:07,N,,1.22,-,
45,Friday Sep 11,boxscore,CIN,@,STL,W,3,1,,20-25,4,5.5,Castillo,Wainwright,,2:24,N,,1.17,+,
46,Saturday Sep 12,boxscore,CIN,@,STL,L,1,7,,20-26,4,6.5,Hudson,Antone,,3:08,N,,1.43,-,
47,Sunday Sep 13,boxscore,CIN,@,STL,W,10,5,,21-26,4,6.5,Bradley,Gant,Iglesias,3:42,D,,1.24,+,
48,Monday Sep 14 (1),boxscore,CIN,,PIT,W-wo,3,1,7,22-26,3,5.5,Iglesias,Howard,,2:25,D,,1.42,++,
49,Monday Sep 14 (2),boxscore,CIN,,PIT,W,9,4,7,23-26,3,5.5,Romano,Turley,,2:58,N,,1.63,+++,
50,Tuesday Sep 15,boxscore,CIN,,PIT,W,4,1,,24-26,3,5.5,Lorenzen,Musgrove,Garrett,2:40,N,,1.83,++++,
51,Wednesday Sep 16,boxscore,CIN,,PIT,W,1,0,,25-26,2,5.5,Castillo,Brubaker,Iglesias,2:34,N,,1.86,+++++,
52,Friday Sep 18,boxscore,CIN,,CHW,W,7,1,,26-26,2,5.5,Mahle,Stiever,,2:51,N,,1.78,++++++,
53,Saturday Sep 19,boxscore,CIN,,CHW,L,0,5,,26-27,3,5.5,Foster,Bauer,,2:57,N,,1.97,-,
54,Sunday Sep 20,boxscore,CIN,,CHW,W,7,3,,27-27,3,4.5,Sims,Cease,,3:36,D,,2.14,+,
55,Monday Sep 21,boxscore,CIN,,MIL,W,6,3,,28-27,2,4.5,Castillo,Woodruff,,2:56,N,,2.82,++,
56,Tuesday Sep 22,boxscore,CIN,,MIL,L,2,3,,28-28,3,4.5,Anderson,Antone,Hader,2:27,N,,2.43,-,
57,Wednesday Sep 23,boxscore,CIN,,MIL,W,6,1,,29-28,2,3.5,Bauer,Houser,,2:38,N,,3.70,+,
58,Friday Sep 25,boxscore,CIN,@,MIN,W,7,2,,30-28,2,3.0,Lorenzen,Berrios,,3:38,N,,2.14,++,
59,Saturday Sep 26,boxscore,CIN,@,MIN,L,3,7,,30-29,2,3.0,Clippard,Castillo,,3:06,N,,.61,-,
60,Sunday Sep 27,boxscore,CIN,@,MIN,W,5,3,10,31-29,2,3.0,Iglesias,Thielbar,,3:53,D,,.57,+,
