
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday Sep 9,boxscore,LAD,@,ARI,W,6,4,10,32-12,1,up 4.5,McGee,Ginkel,Treinen,3:20,N,,.06,++,
45,Thursday Sep 10,boxscore,LAD,@,ARI,L,2,5,,32-13,1,up 3.5,Smith,Gonsolin,Bergen,3:31,N,,.04,-,
46,Saturday Sep 12,boxscore,LAD,,HOU,L,5,7,,32-14,1,up 3.0,James,Jansen,Pressly,3:15,N,,.09,--,
47,Sunday Sep 13,boxscore,LAD,,HOU,W,8,1,,33-14,1,up 2.5,Gonzalez,Greinke,,2:52,N,,.10,+,
48,Monday Sep 14,boxscore,LAD,@,SDP,L,2,7,,33-15,1,up 1.5,Lamet,Kershaw,,2:59,N,,.16,-,
49,Tuesday Sep 15,boxscore,LAD,@,SDP,W,3,1,,34-15,1,up 2.5,Gonsolin,Davies,Jansen,2:59,N,,.19,+,
50,Wednesday Sep 16,boxscore,LAD,@,SDP,W,7,5,,35-15,1,up 3.5,Kolarek,Morejón,Baez,3:25,D,,.14,++,
51,Thursday Sep 17,boxscore,LAD,@,COL,W,9,3,,36-15,1,up 4.0,Floro,Freeland,,3:07,N,,.05,+++,
52,Friday Sep 18,boxscore,LAD,@,COL,W,15,6,,37-15,1,up 4.0,White,Castellani,,3:24,N,,.03,++++,
53,Saturday Sep 19,boxscore,LAD,@,COL,W,6,1,,38-15,1,up 5.0,Kershaw,Gonzalez,,2:32,N,,.03,+++++,
54,Sunday Sep 20,boxscore,LAD,@,COL,L,3,6,,38-16,1,up 4.0,Senzatela,Gonsolin,Givens,3:15,D,,.01,-,
55,Tuesday Sep 22,boxscore,LAD,,OAK,W,7,2,,39-16,1,up 5.0,May,Montas,,3:18,N,,.02,+,
56,Wednesday Sep 23,boxscore,LAD,,OAK,L,4,6,,39-17,1,up 5.0,Diekman,Treinen,Hendriks,2:52,N,,.00,-,
57,Thursday Sep 24,boxscore,LAD,,OAK,W,5,1,,40-17,1,up 5.5,Floro,Fiers,,2:50,N,,.01,+,
58,Friday Sep 25,boxscore,LAD,,LAA,W,9,5,,41-17,1,up 6.0,Graterol,Andriese,,3:42,N,,.00,++,
59,Saturday Sep 26,boxscore,LAD,,LAA,W,7,6,,42-17,1,up 6.0,Gonsolin,Robles,Kolarek,3:19,N,,.00,+++,
60,Sunday Sep 27,boxscore,LAD,,LAA,W,5,0,,43-17,1,up 6.0,May,Sandoval,,2:54,D,,.00,++++,
