Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Thursday Sep 10,boxscore,ARI,,LAD,W,5,2,,16-29,5,16.0,Smith,Gonsolin,Bergen,3:31,N,,.01,+,
46,Friday Sep 11,boxscore,ARI,,SEA,W,4,3,,17-29,5,15.5,Young,Kikuchi,Crichton,2:32,N,,.02,++,
47,Saturday Sep 12,boxscore,ARI,,SEA,L,3,7,,17-30,5,15.5,Sheffield,Gallen,,2:45,N,,.02,-,
48,Sunday Sep 13,boxscore,ARI,,SEA,L,3,7,,17-31,5,16.5,Sadler,Weaver,,3:32,D,,.02,--,
49,Tuesday Sep 15,boxscore,ARI,@,LAA,W,9,8,,18-31,5,16.0,Mella,Andriese,Crichton,3:06,N,,.00,+,
50,Wednesday Sep 16,boxscore,ARI,@,LAA,W,9,6,,19-31,5,16.0,Clarke,Bundy,Crichton,3:10,N,,.01,++,
51,Thursday Sep 17,boxscore,ARI,@,LAA,L,3,7,,19-32,5,17.0,Canning,Young,,3:07,D,,.01,-,
52,Friday Sep 18,boxscore,ARI,@,HOU,W,6,3,,20-32,5,17.0,Gallen,Garcia,Crichton,3:08,N,,.00,+,
53,Saturday Sep 19,boxscore,ARI,@,HOU,L,2,3,,20-33,5,18.0,Paredes,Weaver,Pressly,2:37,N,,.00,-,
54,Sunday Sep 20,boxscore,ARI,@,HOU,L,2,3,,20-34,5,18.0,Taylor,Guerra,Pressly,3:04,D,,.00,--,
55,Tuesday Sep 22,boxscore,ARI,,TEX,W,7,0,,21-34,5,18.0,Smith,Lyles,,2:56,N,,.00,+,
56,Wednesday Sep 23,boxscore,ARI,,TEX,W,7,3,,22-34,5,17.0,Mella,Goody,,2:57,D,,.00,++,
57,Friday Sep 25 (1),boxscore,ARI,,COL,W,4,0,7,23-34,5,17.0,Gallen,Senzatela,Crichton,2:36,D,,.00,+++,
58,Friday Sep 25 (2),boxscore,ARI,,COL,W,11,5,7,24-34,5,17.0,Clarke,Santos,,2:58,D,,.00,++++,
59,Saturday Sep 26,boxscore,ARI,,COL,L,3,10,,24-35,5,18.0,Marquez,Weaver,,3:03,N,,.00,-,
60,Sunday Sep 27,boxscore,ARI,,COL,W,11,3,,25-35,5,18.0,Bumgarner,Freeland,,2:54,D,,.00,+,
