
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Friday Sep 11,boxscore,OAK,@,TEX,W,10,6,,28-15,1,up 7.0,Fiers,Garcia,,3:22,N,,.17,+++,
44,Saturday Sep 12 (1),boxscore,OAK,@,TEX,L,2,5,7,28-16,1,up 6.5,Benjamin,Jefferies,Montero,1:58,D,,.18,-,
45,Saturday Sep 12 (2),boxscore,OAK,@,TEX,W,10,1,7,29-16,1,up 6.5,Bassitt,Allard,,2:59,N,,.19,+,
46,Sunday Sep 13,boxscore,OAK,@,TEX,L,3,6,,29-17,1,up 6.5,Lynn,Montas,,2:57,D,,.14,-,
47,Monday Sep 14 (1),boxscore,OAK,@,SEA,L,5,6,7,29-18,1,up 6.5,Gonzales,Soria,Hirano,2:18,D,,.18,--,
48,Monday Sep 14 (2),boxscore,OAK,@,SEA,W,9,0,7,30-18,1,up 6.5,Minor,Yacabonis,,2:24,D,,.19,+,
49,Tuesday Sep 15,boxscore,OAK,@,COL,L,1,3,,30-19,1,up 5.5,Senzatela,Manaea,,2:41,N,,.11,-,
50,Wednesday Sep 16,boxscore,OAK,@,COL,W,3,1,,31-19,1,up 6.5,Fiers,Marquez,Hendriks,2:57,D,,.16,+,
51,Friday Sep 18,boxscore,OAK,,SFG,W,6,0,,32-19,1,up 7.0,Bassitt,Webb,,2:53,N,,.12,++,
52,Saturday Sep 19,boxscore,OAK,,SFG,W,6,0,,33-19,1,up 7.0,Luzardo,Gausman,,2:34,D,,.15,+++,
53,Sunday Sep 20,boxscore,OAK,,SFG,L,2,14,,33-20,1,up 6.0,Anderson,Minor,,3:21,D,,.12,-,
54,Tuesday Sep 22,boxscore,OAK,@,LAD,L,2,7,,33-21,1,up 5.5,May,Montas,,3:18,N,,.12,--,
55,Wednesday Sep 23,boxscore,OAK,@,LAD,W,6,4,,34-21,1,up 6.5,Diekman,Treinen,Hendriks,2:52,N,,.05,+,
56,Thursday Sep 24,boxscore,OAK,@,LAD,L,1,5,,34-22,1,up 5.5,Floro,Fiers,,2:50,N,,.17,-,
57,Friday Sep 25,boxscore,OAK,,SEA,W-wo,3,1,10,35-22,1,up 6.5,Diekman,Gerber,,3:08,N,,.17,+,
58,Saturday Sep 26 (1),boxscore,OAK,,SEA,L,1,5,8,35-23,1,up 6.0,Graveman,Hendriks,,2:39,D,,.18,-,
59,Saturday Sep 26 (2),boxscore,OAK,,SEA,L,3,12,7,35-24,1,up 6.0,Dunn,Blackburn,,2:15,D,,.22,--,
60,Sunday Sep 27,boxscore,OAK,,SEA,W,6,2,,36-24,1,up 7.0,Petit,Hirano,,3:06,D,,.18,+,
