Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday Sep 12,boxscore,DET,@,CHW,L,0,14,,20-25,4,9.0,Lopez,Fulmer,,3:02,N,,.87,--,
46,Sunday Sep 13,boxscore,DET,@,CHW,L,2,5,,20-26,4,10.0,Cordero,Turnbull,Colome,3:08,D,,.55,---,
47,Tuesday Sep 15,boxscore,DET,,KCR,W,6,0,,21-26,4,10.5,Boyd,Junis,,3:27,N,,.32,+,
48,Wednesday Sep 16,boxscore,DET,,KCR,L,0,4,,21-27,4,10.5,Singer,Skubal,,2:33,N,,.49,-,
49,Thursday Sep 17,boxscore,DET,,CLE,L,3,10,,21-28,4,11.5,Bieber,Mize,,3:04,N,,.38,--,
50,Friday Sep 18,boxscore,DET,,CLE,L,0,1,,21-29,4,11.5,Plesac,Alexander,Hand,3:33,N,,.13,---,
51,Saturday Sep 19,boxscore,DET,,CLE,W,5,2,,22-29,4,11.5,Cisnero,Maton,Garcia,3:00,N,,.05,+,
52,Sunday Sep 20,boxscore,DET,,CLE,L,4,7,,22-30,4,11.5,Carrasco,Boyd,,2:59,D,,.10,-,
53,Tuesday Sep 22,boxscore,DET,@,MIN,L-wo,4,5,10,22-31,4,11.0,Rogers,Garcia,,3:43,N,,.00,--,
54,Wednesday Sep 23,boxscore,DET,@,MIN,L,6,7,,22-32,4,11.5,Maeda,Mize,Romo,3:16,N,,.00,---,
55,Thursday Sep 24,boxscore,DET,@,KCR,L,7,8,,22-33,5,12.0,Hahn,Alexander,Newberry,3:22,N,,.00,----,
56,Friday Sep 25,boxscore,DET,@,KCR,L,2,3,,22-34,5,12.0,Keller,Turnbull,Hahn,2:50,N,,.00,-----,
57,Saturday Sep 26,boxscore,DET,@,KCR,W,4,3,,23-34,5,12.0,Boyd,Hernandez,Garcia,3:00,N,,.00,+,
58,Sunday Sep 27,boxscore,DET,@,KCR,L,1,3,,23-35,5,12.0,Singer,Skubal,Hahn,2:27,D,,.00,-,
