Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Thursday Sep 10,boxscore,SFG,@,SDP,L,1,6,,23-22,3,9.0,Morejón,Cahill,,2:48,N,,1.36,-,
46,Sunday Sep 13 (1),boxscore,SFG,@,SDP,L,0,6,7,23-23,3,10.0,Clevinger,Cueto,,2:08,D,,1.41,--,
47,Sunday Sep 13 (2),boxscore,SFG,@,SDP,L,1,3,7,23-24,3,10.0,Hill,Selman,Rosenthal,2:12,D,,1.57,---,
48,Wednesday Sep 16,boxscore,SFG,,SEA,W,9,3,,24-24,3,10.0,Cahill,Newsome,,3:29,N,,1.59,+,
49,Thursday Sep 17,boxscore,SFG,,SEA,W,6,4,,25-24,3,10.0,Garcia,Graveman,Selman,3:34,D,,1.74,++,
50,Friday Sep 18,boxscore,SFG,@,OAK,L,0,6,,25-25,3,11.0,Bassitt,Webb,,2:53,N,,1.26,-,
51,Saturday Sep 19,boxscore,SFG,@,OAK,L,0,6,,25-26,3,12.0,Luzardo,Gausman,,2:34,D,,1.74,--,
52,Sunday Sep 20,boxscore,SFG,@,OAK,W,14,2,,26-26,3,11.0,Anderson,Minor,,3:21,D,,2.12,+,
53,Monday Sep 21,boxscore,SFG,,COL,L,2,7,,26-27,3,11.5,Marquez,Cueto,,3:33,N,,2.19,-,
54,Tuesday Sep 22,boxscore,SFG,,COL,W,5,2,,27-27,3,11.5,Rogers,Diaz,Coonrod,3:26,N,,2.42,+,
55,Wednesday Sep 23,boxscore,SFG,,COL,W,7,2,,28-27,3,10.5,Webb,Castellani,,3:10,N,,2.26,++,
56,Thursday Sep 24,boxscore,SFG,,COL,L,4,5,11,28-28,3,11.5,Bard,Cahill,Diaz,4:13,D,,1.73,-,
57,Friday Sep 25 (1),boxscore,SFG,,SDP,W,5,4,7,29-28,3,12.0,Anderson,Paddack,,2:27,D,,2.54,+,
58,Friday Sep 25 (2),boxscore,SFG,,SDP,L-wo,5,6,7,29-29,3,12.0,Patino,Coonrod,,2:37,N,,1.89,-,
59,Saturday Sep 26,boxscore,SFG,,SDP,L,2,6,,29-30,3,13.0,Stammen,Cueto,,2:47,N,,2.98,--,
60,Sunday Sep 27,boxscore,SFG,,SDP,L,4,5,,29-31,3,14.0,Altavilla,Smyly,Rosenthal,3:22,D,,5.37,---,
