Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Monday Sep 14 (1),boxscore,MIL,,STL,W-wo,2,1,8,21-24,4,6.0,Peralta,Helsley,,2:37,D,,1.72,+,
46,Monday Sep 14 (2),boxscore,MIL,,STL,L,2,3,9,21-25,4,6.0,Cabrera,Topa,Webb,3:42,N,,1.89,-,
47,Tuesday Sep 15,boxscore,MIL,,STL,W,18,3,,22-25,4,6.0,Anderson,Flaherty,,3:09,N,,1.68,+,
48,Wednesday Sep 16 (1),boxscore,MIL,,STL,L,2,4,7,22-26,4,6.5,Wainwright,Woodruff,,2:01,D,,1.78,-,
49,Wednesday Sep 16 (2),boxscore,MIL,,STL,W,6,0,7,23-26,4,6.5,Peralta,Oviedo,,2:01,N,,1.59,+,
50,Friday Sep 18,boxscore,MIL,,KCR,W,9,5,,24-26,4,6.5,Rasmussen,Duffy,,3:20,N,,1.48,++,
51,Saturday Sep 19,boxscore,MIL,,KCR,W,5,0,,25-26,3,5.5,Burnes,Bubic,,2:55,N,,1.56,+++,
52,Sunday Sep 20,boxscore,MIL,,KCR,W,5,3,,26-26,3,4.5,Lindblom,Keller,Hader,2:43,D,,1.76,++++,
53,Monday Sep 21,boxscore,MIL,@,CIN,L,3,6,,26-27,4,5.5,Castillo,Woodruff,,2:56,N,,2.45,-,
54,Tuesday Sep 22,boxscore,MIL,@,CIN,W,3,2,,27-27,3,4.5,Anderson,Antone,Hader,2:27,N,,2.42,+,
55,Wednesday Sep 23,boxscore,MIL,@,CIN,L,1,6,,27-28,4,4.5,Bauer,Houser,,2:38,N,,3.25,-,
56,Thursday Sep 24,boxscore,MIL,@,STL,L,2,4,,27-29,4,4.5,Kim,Burnes,Miller,3:43,N,,2.84,--,
57,Friday Sep 25 (1),boxscore,MIL,@,STL,W,3,0,7,28-29,4,5.0,Williams,Flaherty,Hader,2:12,D,,2.49,+,
58,Friday Sep 25 (2),boxscore,MIL,@,STL,L,1,9,7,28-30,4,5.0,Ponce de Leon,Lindblom,,2:36,N,,3.54,-,
59,Saturday Sep 26,boxscore,MIL,@,STL,W,3,0,,29-30,4,4.0,Woodruff,Wainwright,Hader,2:38,N,,2.74,+,
60,Sunday Sep 27,boxscore,MIL,@,STL,L,2,5,,29-31,4,5.0,Gallegos,Anderson,Reyes,2:58,D,,5.76,-,
