Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Sunday Sep 13,boxscore,WSN,,ATL,L,4,8,,17-28,5,10.0,Wright,Scherzer,,3:37,D,,.22,--,
46,Tuesday Sep 15,boxscore,WSN,@,TBR,L,1,6,,17-29,5,10.5,Yarbrough,Sanchez,Anderson,3:08,N,,.15,---,
47,Wednesday Sep 16,boxscore,WSN,@,TBR,W,4,2,10,18-29,5,9.5,Hudson,Anderson,McGowin,3:31,D,,.07,+,
48,Friday Sep 18 (1),boxscore,WSN,@,MIA,W,5,0,7,19-29,5,10.0,Fedde,Sanchez,,2:15,N,,.16,++,
49,Friday Sep 18 (2),boxscore,WSN,@,MIA,L,3,14,7,19-30,5,10.0,Garcia,Crowe,,2:54,N,,.25,-,
50,Saturday Sep 19,boxscore,WSN,@,MIA,L,3,7,,19-31,5,10.0,Lopez,Corbin,,3:06,N,,.07,--,
51,Sunday Sep 20 (1),boxscore,WSN,@,MIA,L,1,2,7,19-32,5,10.5,Alcantara,Scherzer,Kintzler,2:37,D,,.02,---,
52,Sunday Sep 20 (2),boxscore,WSN,@,MIA,W,15,0,7,20-32,5,10.5,Braymer,Garrett,,2:54,D,,.01,+,
53,Monday Sep 21,boxscore,WSN,,PHI,W,5,1,,21-32,5,10.5,Sanchez,Wheeler,,3:48,N,,.00,++,
54,Tuesday Sep 22 (1),boxscore,WSN,,PHI,W,5,1,7,22-32,5,10.0,Voth,Nola,,2:09,D,,.00,+++,
55,Tuesday Sep 22 (2),boxscore,WSN,,PHI,W-wo,8,7,8,23-32,5,10.0,Hudson,Workman,,3:25,D,,.00,++++,
56,Wednesday Sep 23,boxscore,WSN,,PHI,L,3,12,,23-33,5,11.0,Eflin,Fedde,,2:48,N,,.01,-,
57,Thursday Sep 24,boxscore,WSN,,NYM,L,2,3,,23-34,5,11.0,Peterson,Corbin,Diaz,3:15,N,,.00,--,
58,Saturday Sep 26 (1),boxscore,WSN,,NYM,W,4,3,7,24-34,5,10.0,Scherzer,Castro,Harris,2:39,D,,.00,+,
59,Saturday Sep 26 (2),boxscore,WSN,,NYM,W,5,3,7,25-34,5,10.0,Sanchez,Porcello,Hudson,2:35,D,,.00,++,
60,Sunday Sep 27,boxscore,WSN,,NYM,W,15,5,,26-34,4,9.0,Voth,Lugo,,3:35,D,,.00,+++,
